Name,Price,24HR Change,24hr Volume,Market Cap
Bitcoin,"$16,810.25",+0.72%,$28.26 B,$319.78 B
Ethereum,"$1,221.09",+0.04%,$9.84 B,$147.47 B
Tether,$1.02,+0.03%,$38.15 B,$65.89 B
USD Coin,$1.00,-0.01%,$3.05 B,$44.33 B
BNB,$272.26,-1.01%,$874.72 M,$42.84 B
Binance USD,$1.00,+0.02%,$5.92 B,$23.04 B
XRP,$0.386,+2.44%,$1.33 B,$19.03 B
Dogecoin,$0.08572,-0.27%,$469.86 M,$11.21 B
Cardano,$0.3297,-1.14%,$248.89 M,$11.17 B
Polygon,$0.8885,-1.94%,$469.05 M,$7.65 B
Polkadot,$5.78,+0.40%,$153.02 M,$6.47 B
Dai,$1.01,-0.03%,$316.85 M,$5.91 B
HEX,$0.03091,-4.36%,$7.45 M,$5.36 B
Wrapped TRON,$0.04989,+0.49%,$1.47 M,$5.07 B
Shiba Inu,$0.000009219,-0.20%,$127.82 M,$4.98 B
Solana,$14.08,-4.79%,$669.54 M,$4.87 B
TRON,$0.04992,+0.62%,$339.58 M,$4.6 B
Uniswap,$5.88,-2.70%,$101.12 M,$4.4 B
Litecoin,$61.57,+5.46%,$647.49 M,$4.33 B
Lido stETH,"$1,191.40",+0.13%,"$393,604",$4.16 B
Wrapped Bitcoin,"$16,839.75",+0.95%,$133.34 M,$3.94 B
Avalanche,$13.21,-0.47%,$154.23 M,$3.92 B
UNUS SED LEO,$4.02,+5.51%,$2.9 M,$3.84 B
Chainlink,$6.36,+1.65%,$258.59 M,$3.08 B
Cosmos,$10.13,-1.52%,$106.49 M,$2.85 B
Ethereum Classic,$20.03,-1.38%,$229.36 M,$2.71 B
Monero,$130.93,+0.16%,$72.91 M,$2.38 B
Stellar,$0.092,+1.34%,$59.18 M,$2.32 B
Toncoin,$1.79,+2.46%,$11.93 M,$2.19 B
Bitcoin Cash,$104.70,-1.19%,$208.88 M,$1.98 B
Algorand,$0.2694,-1.62%,$133.67 M,$1.89 B
Cronos,$0.06987,+0.71%,$38.79 M,$1.74 B
Bitcoin BEP2,"$16,654.51",+0.97%,$6.86 M,$1.72 B
NEAR Protocol,$1.87,-4.38%,$94.88 M,$1.52 B
Quant,$121.80,+4.53%,$49.08 M,$1.44 B
Chiliz,$0.2364,+1.49%,$518.09 M,$1.41 B
VeChain,$0.01978,-1.71%,$50.13 M,$1.39 B
Filecoin,$4.41,+0.77%,$99.06 M,$1.39 B
Flow,$1.23,-0.41%,$24.16 M,$1.24 B
Frax,$0.9915,+0.47%,$34.03 M,$1.17 B
Hedera,$0.05243,+5.71%,$32.53 M,$1.14 B
OKB,$18.77,-1.86%,$12.82 M,$1.13 B
Chain,$0.04864,+2.29%,$23.67 M,$1.04 B
Luna Classic,$0.000191,-3.59%,$100.88 M,$1.04 B
Wrapped BNB,$267.69,-1.08%,$132.13 M,$1.04 B
Internet Computer,$3.84,-2.23%,$22.56 M,$1.03 B
Elrond,$43.75,+2.49%,$41.14 M,$1.02 B
EOS,$0.9131,-1.06%,$129.16 M,$963.76 M
Pax Dollar,$0.9962,-0.29%,$4.15 M,$942.03 M
Tezos,$0.9975,+0.69%,$15.38 M,$897.59 M
